case  seed  K   E(engine)   H(header)    E-H   pred   logZ(IS)    ESS  lnK!  ML-loglik       BIC       ICL   it
K3      9  2    -2809.95    -2810.95  0.999  1.000   -2809.27    440  0.69   -2787.82    5618.0    5927.0   62
K3      9  3    -2800.96    -2803.96  2.993  2.999   -2795.25      1  1.79   -2750.86    5595.0    6272.1  137
K3      9  4    -2824.76    -2830.72  5.959  5.946   -2815.15      2  3.18   -2747.92    5657.0    6423.2 3000
      seed 9: dE(K->K+1) [537.12, 8.99, -23.79]  dH [536.12, 6.99, -26.76]  dlogZ [537.8, 14.02, -19.9]
K3     10  1    -3360.89    -3360.89 -0.000  0.000   -3360.89   2871  0.00   -3356.87    6722.2    6722.2    2
K3     10  2    -2758.61    -2759.61  0.999  1.000   -2758.13    993  0.69   -2736.36    5515.2    5825.7   31
K3     10  3    -2743.58    -2746.57  2.994  2.999   -2740.44     37  1.79   -2693.22    5479.8    5929.3  266
K3     10  4    -2767.03    -2772.99  5.957  5.939   -2758.18      5  3.18   -2690.39    5542.1    6062.5 1887
      seed 10: dE(K->K+1) [602.28, 15.03, -23.45]  dH [601.28, 13.04, -26.41]  dlogZ [602.75, 17.69, -17.74]
K3     11  1    -3257.88    -3257.88 -0.000  0.000   -3257.88   2856  0.00   -3253.88    6516.2    6516.2    2
K3     11  2    -2686.45    -2687.45  0.999  1.000   -2685.77    140  0.69   -2664.22    5370.7    5661.4   58
K3     11  3    -2677.66    -2680.65  2.994  2.999   -2674.56     30  1.79   -2627.38    5347.8    5799.1  241
K3     11  4    -2701.07    -2707.03  5.962  5.945   -2687.83      1  3.18   -2623.21    5407.0    5963.8 2937
      seed 11: dE(K->K+1) [571.43, 8.79, -23.41]  dH [570.43, 6.8, -26.38]  dlogZ [572.11, 11.21, -13.27]

true K=2 (12 seeds): correct picks -- E: 12/12, H: 12/12, logZ: 12/12, logZ+lnK!: 12/12, BIC: 12/12, ICL: 12/12
   picks per seed: E=[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]; H=[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]; logZ=[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]; logZ+lnK!=[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]; BIC=[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]; ICL=[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
   H > logZ+0.05 in 0/48 fits; E > logZ+0.05 in 0/48
   E-H gap: mean 2.477 max 5.955 nat; |gap - K(K-1)/2 prediction| max 0.070
   E-logZ: mean -3.90 [-16.95,0.01]   H-logZ: mean -6.38 [-22.87,0.01]
true K=3 (12 seeds): correct picks -- E: 11/12, H: 11/12, logZ: 12/12, logZ+lnK!: 12/12, BIC: 11/12, ICL: 0/12
   picks per seed: E=[3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3]; H=[3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3]; logZ=[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]; logZ+lnK!=[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]; BIC=[3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3]; ICL=[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
   H > logZ+0.05 in 0/48 fits; E > logZ+0.05 in 0/48
   E-H gap: mean 2.489 max 5.969 nat; |gap - K(K-1)/2 prediction| max 0.025
   E-logZ: mean -3.27 [-13.24,0.01]   H-logZ: mean -5.76 [-19.20,0.01]

337 s
